,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0.0,18982.12,24481.27,16795.09,33993.18,18500.69,12219.34,31490.46,14302.89,16553.94,29250.82,36448.55,36224.06,18333.2,18156.94,20695.62,20462.36,16389.08,18520.86,16550.43,17397.53,28763.25,16340.85,15838.38,33360.92,15993.59,14330.08,12212.32,19698.56,64817.68,62210.75
KDFW,18340.22,0.0,17539.59,18995.28,24910.95,25938.7,20576.36,22637.11,21150.74,22755.49,20428.16,29673.49,27601.34,25717.72,12189.52,27950.35,19582.81,22732.69,25912.39,21169.15,24897.8,21355.06,23884.96,23354.43,24167.33,23592.95,20491.29,16984.51,11825.6,56164.26,68729.75
KDEN,23854.27,17278.27,0.0,20014.25,20221.2,28704.5,25309.95,17395.78,27769.7,29684.89,16918.74,22084.65,21675.13,28458.96,19700.32,30574.96,17558.89,29615.61,28630.84,22776.54,27901.24,14380.06,27116.4,26662.16,20054.59,26937.51,27298.8,21489.23,18681.34,50966.78,67933.51
KORD,16860.86,19486.35,20886.78,0.0,31543.08,18266.56,16609.18,28366.88,21390.13,23652.58,27340.89,30667.04,32874.24,18021.02,20686.85,19759.07,13850.4,23473.69,18187.63,12429.8,17535.21,24846.94,16870.51,16483.79,30858.2,16756.51,21469.06,14368.66,21377.86,61815.99,59358.14
KLAX,33018.05,24274.31,19878.33,30463.59,0.0,39069.65,34948.14,12449.97,36038.15,37501.72,14031.93,20881.52,13836.37,38825.87,25796.64,40675.29,27639.92,37506.99,39003.88,33223.25,38204.13,16208.43,37350.02,36866.84,10832.93,37137.8,35333.99,31086.2,24181.36,40973.44,77235.84
KJFK,19071.57,26941.89,29896.23,18824.28,40579.7,0.0,16212.82,37762.17,20914.85,22590.63,36668.65,39509.86,41805.63,10023.54,26972.59,11747.56,22258.28,22339.84,9750.82,15971.67,10837.32,34185.23,11934.34,12481.54,40268.4,12279.85,21672.5,19077.71,28282.7,70612.34,53257.43
KCLT,12656.92,21461.16,26227.21,16841.57,36206.52,15923.44,0.0,33595.94,15076.33,17208.12,31941.2,37670.09,38174.32,15774.36,20878.89,18123.62,20840.31,16988.01,15955.0,15520.05,14830.8,30484.64,13917.93,13453.16,35658.45,13566.28,15590.21,13908.28,22373.16,66940.69,59611.57
KLAS,30663.53,22156.56,17125.69,27390.88,12671.83,36395.06,32484.01,0.0,33936.18,35528.66,12677.09,19937.96,14806.24,36150.4,23941.09,37961.23,24859.22,35514.63,36326.66,30511.82,35552.34,13710.1,34720.14,34245.73,12830.55,34518.45,33283.76,28252.88,22391.57,43501.59,74558.61
KMCO,14616.83,21914.53,28583.48,21563.76,37170.25,20671.06,15061.43,34927.97,0.0,11809.82,32676.05,40857.68,39841.34,20593.02,20230.85,22757.25,25266.98,11635.31,20740.34,20878.89,19696.81,33163.62,18820.77,18476.14,36366.12,18491.92,10720.69,16994.15,21938.21,67826.38,63534.89
KMIA,16880.15,23500.87,30498.67,23842.87,38623.3,22387.19,17229.16,36513.44,11883.48,0.0,34112.44,42871.96,41478.54,22338.96,21491.86,24374.28,27526.8,9795.54,22468.74,23115.91,21486.6,35020.93,20692.99,20400.97,37748.14,20382.56,12122.0,19243.44,23193.08,69073.36,64499.5
KPHX,28423.01,19945.85,16810.88,26510.45,14447.59,35276.11,30802.96,12865.63,31686.01,33137.31,0.0,22831.79,17622.02,35035.83,21433.1,37004.51,24579.48,33142.57,35219.99,29231.52,34357.1,15235.06,33453.88,32953.16,13636.44,33218.86,30973.96,26613.05,19823.08,45507.1,75011.1
KSEA,35790.86,29279.75,21789.13,29821.69,20787.69,38438.27,36762.48,19757.32,39999.18,42004.69,22588.88,0.0,17544.85,38205.01,31986.8,39314.31,26029.9,41919.63,38335.67,32613.79,37930.54,17375.61,37418.42,37076.42,21923.3,37343.88,39601.94,33210.09,30768.76,42083.61,69537.39
KSFO,35285.76,26978.72,21118.29,31660.58,13643.45,40379.76,36964.17,14425.66,38727.65,40367.49,17220.4,17542.22,0.0,40134.23,28815.86,41770.55,28269.55,40347.32,40300.84,34400.95,39615.97,16317.17,38856.56,38409.33,14808.87,38684.68,38099.78,33101.36,27269.86,38903.91,76216.86
KEWR,18889.17,26706.0,29644.55,18570.85,40330.66,9792.03,16047.96,37512.25,20824.52,22529.25,36412.59,39271.34,41554.83,0.0,26756.86,11909.79,22011.87,22279.33,9742.93,15719.11,10638.26,33933.55,11737.04,12277.22,40021.11,12089.56,21569.03,18851.46,28057.33,70365.93,53425.8
KIAH,17843.88,12474.52,20155.44,20448.33,26587.62,26242.99,20301.88,24586.5,19611.75,20907.83,22060.98,32580.47,29610.35,26042.18,0.0,28366.88,21730.38,20923.61,26236.85,22215.31,25155.61,23799.02,24101.56,23570.15,25697.55,23777.98,18826.03,17284.41,11494.13,57560.32,69654.02
KBOS,21334.01,29016.68,31877.18,20437.8,42266.01,11945.74,18481.4,39411.65,23079.08,24657.53,38461.07,40442.03,43266.57,12131.65,29166.63,0.0,23483.33,24404.97,11932.59,17562.39,13206.75,35632.14,14298.51,14709.78,42023.98,14651.91,23867.42,21219.14,30435.53,71940.87,51062.51
KMSP,20405.36,19878.33,18169.22,13603.99,28458.96,21666.36,20507.08,25587.06,24985.49,27231.28,25179.29,26827.02,29263.09,21427.84,21793.52,22792.32,0.0,27070.8,21569.9,15771.73,21100.75,21623.39,20578.11,20247.51,28370.39,20513.22,24940.77,17737.78,21949.61,58538.96,60175.42
KFLL,16723.18,23486.84,30435.53,23668.36,38635.58,22139.9,17015.2,36505.55,11723.88,9864.82,34125.6,42789.53,41463.63,22092.54,21519.04,24126.11,27370.71,0.0,22222.33,22910.71,21241.06,34968.31,20450.08,20160.7,37770.06,20141.41,12052.73,19093.49,23222.89,69116.32,64268.87
KLGA,19086.47,26909.45,29824.32,18747.11,40515.69,9672.77,16238.25,37695.52,20980.61,22668.68,36605.52,39406.39,41726.71,9941.99,26961.19,11722.13,22162.7,22418.76,0.0,15889.24,10838.2,34104.55,11936.97,12478.03,40209.64,12286.86,21732.13,19055.78,28262.53,70530.79,53237.26
KDTW,16764.4,21811.93,23793.76,12798.98,34464.96,15541.98,15438.5,31660.58,20825.4,23040.49,30218.05,33553.85,35701.41,15297.32,22600.28,16998.54,16161.96,22830.03,15456.92,0.0,14888.67,27675.0,14363.4,14184.51,34139.63,14321.31,21125.31,15055.29,23538.58,64580.91,57118.49
KPHL,17930.7,25865.04,29044.74,18032.42,39672.97,10651.41,15079.84,36876.48,19897.62,21646.19,35713.69,38972.31,41005.01,10490.94,25845.75,12966.47,21642.69,21397.15,10672.46,15250.84,0.0,33403.02,10801.37,11356.45,39330.1,11140.73,20626.34,17980.68,27170.77,69852.93,54360.59
KSLC,28457.21,21372.6,14449.34,24275.19,16735.46,33351.28,29900.61,14139.79,32658.51,34514.07,15520.93,17965.77,17055.54,33105.74,23629.78,34717.51,21229.66,34456.19,33269.72,27005.03,32610.28,0.0,31880.69,31446.61,17108.15,31722.84,32148.15,26093.04,22340.71,46280.54,70289.78
KBWI,16835.43,24817.12,28214.3,17309.84,38778.51,11712.48,14127.51,36003.07,18977.74,20809.62,34774.51,38431.26,40210.52,11538.85,24753.11,14021.4,21073.57,20562.33,11727.39,14658.92,10609.32,32632.21,0.0,10291.88,38404.95,10022.66,19668.75,16918.74,26091.28,69083.0,55417.27
KIAD,16307.53,24263.79,27737.26,16894.18,38275.16,12233.37,13632.93,35508.49,18607.68,20493.05,34250.99,38075.23,39744.88,12050.1,24198.02,14411.63,20719.29,20248.39,12241.26,14450.22,11133.72,32178.84,10080.54,0.0,37891.08,9822.73,19268.87,16365.4,25533.57,68626.13,55925.01
KSAN,32370.88,23520.17,19772.22,29850.63,10968.86,38727.65,34379.9,12711.29,35226.13,36622.18,13255.86,22043.44,15022.84,38485.62,24903.06,40399.06,27601.34,36636.21,38668.02,32956.67,37832.32,16634.62,36949.27,36455.56,0.0,36723.02,34496.53,30539.88,23271.12,41725.83,77566.43
KDCA,16480.28,24519.85,28019.62,17176.55,38551.39,12055.36,13766.22,35787.35,18638.37,20487.79,34533.36,38348.83,40026.37,11886.99,24422.51,14368.66,20993.77,20242.25,12073.77,14595.78,10951.32,32462.08,9899.02,10038.45,38164.67,0.0,19320.61,16614.45,25771.21,68904.11,55764.53
KTPA,14587.89,21208.61,28076.62,21608.49,36430.13,21390.13,15526.19,34240.47,10501.46,11954.51,31924.53,40436.76,39182.77,21299.81,19395.15,23507.89,25191.57,11865.07,21454.15,21146.35,20387.82,32620.81,19472.32,19097.87,35598.82,19134.7,0.0,16897.69,21106.01,67035.4,64422.33
KBNA,12243.02,17636.05,22281.96,14415.14,32242.86,18567.34,13539.1,29242.05,16807.37,19044.38,27629.4,34022.12,34209.78,18356.0,17631.67,20652.65,17927.19,18888.29,18551.56,14922.87,17500.13,26561.31,16468.88,15936.59,31716.71,16167.22,16755.63,0.0,18887.41,63013.86,61944.16
KAUS,19294.3,11956.26,19071.57,21062.17,24914.46,27468.92,21707.58,22976.48,21256.84,22543.28,20388.7,31315.08,28009.1,27259.34,11194.22,29552.47,21816.32,22563.45,27454.89,23076.45,26396.45,22451.2,25354.67,24821.51,24006.85,25042.49,20472.88,18451.59,0.0,55874.01,70635.29
PHNL,63135.75,54677.01,49728.57,59910.45,40023.74,68627.88,65033.4,42458.06,65957.67,67199.38,44288.18,41453.11,38169.93,68383.22,55908.21,69944.13,56709.71,67238.85,68546.33,62638.54,67878.12,44897.64,67118.71,66667.97,40705.1,66943.32,65186.86,61161.81,54261.36,0.0,98131.88
LFPG,26568.98,28968.52,28551.22,25320.66,31937.19,23084.28,25518.46,30938.78,27074.98,27475.45,31158.27,28906.36,31489.46,23146.12,29291.93,22244.51,25575.44,27385.45,23075.22,24491.89,23504.82,29207.11,23906.9,24098.55,32083.19,24040.28,27410.05,26363.73,29645.13,39184.03,0.0
