,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0.0,16550.53,21226.56,14703.23,29277.28,16154.07,10815.81,27151.22,12586.56,14499.58,25282.25,31366.51,31174.41,16011.8,15855.81,18019.42,17817.94,14359.48,16170.67,14496.69,15215.97,24877.84,14318.32,13891.52,28739.99,14023.67,12609.67,10807.14,17165.1,55485.43,53326.24
KDFW,16013.24,0.0,15329.35,16573.64,21594.15,22474.47,17917.6,19663.07,18406.5,19769.23,17785.44,25644.78,23881.25,22286.7,10790.53,24183.84,17074.11,19750.46,22452.8,18421.67,21589.81,18582.71,20728.99,20278.36,20962.25,20481.29,17845.38,14865.72,10480.0,48131.61,58865.98
KDEN,20698.66,15110.53,0.0,17440.24,17610.68,24825.12,21940.06,15208.75,24031.46,25658.5,14805.78,19195.11,18844.86,24617.14,17173.04,26381.39,15353.18,25599.28,24763.01,19787.29,24141.95,12641.45,23475.39,23089.75,17469.13,23323.01,23630.66,18693.93,16307.16,43714.83,58189.31
KORD,14755.95,16983.11,18169.63,0.0,27195.27,15954.75,14546.52,24531.2,18609.43,20532.56,23659.54,26487.55,28326.18,15746.76,18009.31,17223.59,12186.48,20380.18,15887.59,10983.35,15332.96,21547.93,14768.23,14439.64,26648.59,14671.46,18676.59,12642.17,18595.71,52934.74,50901.93
KLAX,28452.56,21055.41,17319.64,26286.06,0.0,33599.45,30096.94,11000.68,31023.48,32267.77,12344.64,18176.13,12175.65,33392.18,22353.87,34963.62,23920.25,32272.1,33543.84,28631.66,32864.28,14212.88,32138.5,31727.59,9637.23,31957.96,30424.8,26815.41,20981.75,35222.15,66094.15
KJFK,16629.97,23315.79,25826.04,16421.99,34874.07,0.0,14205.66,32480.09,18202.85,19627.69,31550.66,33967.75,35916.16,8943.23,23347.57,10415.01,19341.71,19414.65,8715.75,13998.4,9637.23,29448.43,10568.83,11033.18,34609.76,10862.75,18846.3,16638.64,24460.43,60410.6,45717.49
KCLT,11177.61,18657.82,22709.17,14740.78,31158.52,13963.73,0.0,28940.75,13243.73,15055.65,27533.25,32404.98,32831.06,13837.35,18168.91,15833.42,18139.3,14868.61,13990.45,13619.98,13035.03,26339.5,12248.59,11853.56,30692.72,11948.89,13679.92,12232.7,19437.76,57290.12,51117.85
KLAS,26451.44,19256.49,14980.54,23708.65,11184.11,31326.79,28003.38,0.0,29236.84,30590.18,11193.5,17373.08,13007.58,31119.52,20777.38,32657.74,21557.32,30578.62,31269.01,26327.23,30610.4,12078.88,29903.4,29500.43,11321.33,29732.24,28682.93,24440.93,19460.14,37371.32,63819.32
KMCO,12846.54,19044.9,24713.18,18754.59,31978.9,17998.48,13230.73,30073.11,0.0,10467.72,28158.64,35114.55,34249.4,17932.04,17617.9,19770.68,21901.79,10318.96,18057.7,18173.97,17170.88,28583.28,16425.6,16133.12,31295.01,16146.84,9536.85,14871.5,19068.73,58043.34,54450.65
KMIA,14769.67,20393.18,26340.95,20692.16,33213.81,19456.53,15073.7,31420.67,10529.11,0.0,29380.55,36826.09,35641.01,19415.37,18690.31,21145.68,23822.75,8755.47,19526.58,20075.43,18691.04,30161.21,18016.53,17768.83,32469.98,17753.66,10729.87,16782.35,20135.37,59102.76,55271.03
KPHX,24581.03,17377.42,14712.62,22960.49,12690.55,30375.69,26574.93,11350.21,27325.26,28558.0,0.0,19832.06,15401.57,30171.32,18645.54,31844.58,21319.72,28562.33,30328.03,25272.86,29594.31,13386.0,28827.37,28402.01,12001.61,28628.05,26719.36,23047.87,17277.76,39074.91,64204.24
KSEA,30808.99,25309.69,18943.79,25774.77,18097.42,33063.6,31639.48,17222.15,34389.5,36094.53,19628.41,0.0,15341.63,32865.0,27580.19,33808.15,22552.46,36021.59,32975.49,28113.15,32631.74,15205.86,32196.28,31905.96,19062.23,32133.45,34052.24,28620.83,26545.32,36168.19,59552.04
KSFO,30379.3,23353.34,18374.01,27302.87,12014.61,34713.03,31809.92,12690.55,33308.41,34702.19,15065.76,15339.46,0.0,34505.04,24919.72,35895.21,24455.37,34685.58,34645.86,29632.58,34063.8,14305.32,33418.18,33038.32,13016.97,33272.3,32775.45,28527.67,23606.1,33465.12,65228.27
KEWR,16475.43,23115.75,25612.28,16206.78,34662.47,8753.3,14065.56,32267.77,18126.3,19575.69,31332.56,33764.82,35703.84,0.0,23164.14,10552.94,19131.56,19363.37,8711.42,13783.19,9468.25,29235.39,10401.29,10860.58,34398.88,10700.98,18758.2,16446.54,24269.77,60201.18,45860.48
KIAH,15590.77,11025.96,17552.9,17808.55,23020.43,22733.73,17685.06,21319.72,17097.94,18199.24,19173.44,28080.65,25589.17,22562.57,0.0,24538.42,18898.3,18212.96,22728.67,19310.66,21808.63,20659.66,20913.87,20462.51,22262.87,20638.72,16429.93,15119.92,10192.58,49318.12,59651.7
KBOS,18552.38,25079.32,27474.03,17792.66,36306.85,10579.66,16133.12,33881.81,20041.49,21383.27,33073.71,34759.24,37158.28,10736.37,25212.2,0.0,20382.35,21169.51,10568.11,15349.57,11638.36,30678.28,12567.06,12927.42,36101.03,12866.76,20711.66,18458.5,26290.4,61540.07,43852.14
KMSP,17768.11,17318.92,15862.31,11981.39,24610.64,18844.14,17858.38,22170.44,21664.92,23573.61,21824.52,23223.35,25293.08,18641.21,18951.74,19801.01,0.0,23437.12,18761.81,13835.19,18363.17,18808.03,17919.76,17638.12,24535.53,17864.16,21626.64,15505.56,19083.9,50149.34,51596.65
KFLL,14636.07,20380.91,26286.79,20543.39,33223.92,19246.38,14891.0,31414.17,10393.34,8813.24,29391.38,36756.76,35628.01,19205.94,18712.7,20934.81,23689.87,0.0,19316.43,19900.67,18482.33,30117.16,17810.72,17564.46,32488.03,17547.85,10670.65,16655.25,20161.37,59139.59,55074.61
KLGA,16642.25,23288.35,25765.38,16356.27,34819.91,8652.2,14227.32,32423.76,18259.18,19694.13,31497.22,33879.65,35849.72,8874.62,23338.18,10393.34,19260.1,19481.09,0.0,13928.35,9637.96,29379.83,10570.99,11031.01,34559.93,10869.25,18896.85,16619.14,24443.82,60341.28,45700.16
KDTW,14672.9,18958.24,20639.44,11289.55,29677.36,13639.48,13551.38,27294.93,18129.19,20011.88,26104.8,28905.36,30728.83,13431.5,19634.19,14877.27,14160.88,19833.5,13567.26,0.0,13084.86,23951.3,12637.84,12474.63,29401.49,12602.45,18384.12,13223.51,20431.46,55283.94,48998.3
KPHL,15660.1,22400.81,25103.15,15749.65,34103.52,9483.41,13243.01,31727.59,17339.14,18825.36,30738.94,33510.62,35236.6,9346.92,22389.97,11439.76,18818.86,18613.76,9501.47,13386.72,0.0,28784.04,9606.18,10077.03,33811.76,9894.32,17958.04,15705.6,23515.83,59764.99,46654.86
KSLC,24610.64,18589.93,12694.89,21061.19,14650.51,28739.99,25841.93,12433.46,28151.42,29727.91,13621.43,15695.49,14919.88,28532.0,20512.34,29901.23,18472.94,29679.52,28670.66,23380.79,28110.26,0.0,27490.64,27121.61,14967.55,27356.31,27718.12,22605.9,19416.81,39733.53,60191.16
KBWI,14729.23,21510.38,24396.88,15135.81,33343.08,10385.4,12421.91,30985.2,16557.03,18114.75,29940.95,33051.32,34560.65,10238.08,21461.99,12335.97,18335.73,17904.6,10397.67,12884.09,9447.3,28129.75,0.0,9172.16,33026.04,8945.4,17144.16,14803.61,22597.96,59110.7,47553.24
KIAD,14280.76,21040.24,23991.74,14783.39,32916.28,10827.36,12002.33,30564.9,16242.89,17845.38,29495.37,32748.01,34165.62,10672.1,20990.42,12679.0,18034.59,17638.12,10834.59,12695.61,9893.6,27744.12,8998.12,0.0,32589.13,8779.3,16804.74,14332.76,22124.94,58722.18,47984.37
KSAN,27902.27,20414.85,17229.37,25799.32,9749.89,33309.13,29614.53,11222.39,30333.81,31519.61,11685.3,19163.33,13195.35,33103.32,21594.15,34729.64,23887.75,31531.88,33257.86,28404.9,32547.97,14575.41,31797.64,31378.06,0.0,31605.54,29713.47,26351.06,20207.59,35861.27,66375.79
KDCA,14428.09,21257.62,24231.5,15023.15,33150.98,10676.43,12115.71,30801.77,16268.89,17841.77,29735.13,32980.55,34404.66,10533.44,21181.07,12631.34,18267.85,17633.06,10692.32,12830.65,9738.34,27984.6,8844.29,8956.23,32821.67,0.0,16848.79,14544.36,22326.42,58958.33,47847.88
KTPA,12822.71,18444.78,24282.77,18793.58,31349.17,18609.43,13626.48,29489.59,9355.59,10590.49,27520.97,34756.36,33688.99,18532.16,16907.28,20409.07,21838.24,10515.39,18663.59,18402.17,17757.28,28121.81,16979.5,16661.03,30642.89,16692.8,0.0,14789.89,18361.73,57371.01,55205.32
KBNA,10830.97,15408.79,19356.87,12680.44,27789.61,16210.39,11926.5,25275.03,14714.79,16615.53,23903.64,29304.0,29462.15,16030.57,15410.96,17982.59,15664.44,16482.65,16196.67,13113.74,15304.07,23005.98,14427.36,13974.57,27341.87,14171.0,14670.73,0.0,16477.6,53952.27,53099.48
KAUS,16824.24,10587.6,16631.42,18330.68,21597.76,23775.09,18878.8,19951.94,18496.05,19589.41,17752.22,27006.06,24228.61,23596.71,9944.88,25545.84,18971.96,19606.74,23763.54,20042.93,22863.72,19515.03,21978.34,21525.54,20826.48,21712.58,17830.21,16111.46,0.0,47884.62,60485.8
PHNL,54046.87,46858.43,42653.25,51310.58,34410.44,58718.57,55663.8,36479.45,56449.52,57504.61,38034.27,35625.12,32834.67,58510.58,47909.18,59837.2,48590.9,57538.55,58649.24,53628.74,58080.9,38560.01,57436.0,57053.25,34989.62,57287.23,55794.52,52374.33,46509.62,0.0,83852.23
LFPG,23164.99,25204.53,24850.48,22106.29,27729.83,20205.65,22274.26,26881.22,23596.89,23936.81,27067.58,25154.41,27349.38,20258.18,25481.0,19491.95,22323.31,23860.3,20197.92,21401.92,20563.17,25412.48,20904.7,21067.59,27853.53,21018.0,23881.36,22992.49,25781.2,33894.04,0.0
