,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0.0,17447.0,22457.03,15467.75,31082.8,17022.21,11302.65,28804.88,13199.89,15249.55,26802.41,33321.26,33115.44,16869.78,16702.65,19020.81,18804.93,15099.44,17040.01,15246.46,16017.11,26369.11,15055.34,14598.05,30507.13,14739.65,13224.65,11293.37,18105.46,59162.96,56817.4
KDFW,16871.33,0.0,16138.59,17471.76,22850.87,23794.07,18911.71,20781.86,19435.54,20895.6,18770.11,27190.84,25301.34,23592.9,11275.57,25625.54,18007.97,20875.49,23770.86,19451.79,22846.23,19624.33,21923.92,21441.1,22173.84,21658.52,18834.33,15641.84,10942.86,51283.86,62752.84
KDEN,21891.42,15904.14,0.0,18400.26,18582.87,26312.63,23221.5,16009.37,25462.28,27205.54,15577.62,20280.47,19905.21,26089.79,18113.97,27980.06,16164.12,27142.09,26246.09,20914.95,25580.66,13258.69,24866.49,24453.31,18431.21,24703.23,25032.85,19743.49,17186.25,46551.61,62027.83
KORD,15524.23,17910.48,19181.75,0.0,28852.08,16808.66,15299.84,25997.71,19652.96,21713.46,25063.8,28093.8,30063.77,16585.82,19009.98,18168.14,12771.23,21550.2,16736.7,11482.16,16142.46,22801.35,15537.39,15185.33,28266.35,15433.7,19724.92,13259.47,19638.26,56430.07,54219.92
KLAX,30199.18,22273.65,18271.04,27877.93,0.0,35713.69,31961.0,11500.73,32953.73,34286.9,12940.68,19188.71,12759.62,35491.62,23664.86,37175.31,25343.12,34291.54,35654.11,30391.07,34926.01,14942.37,34148.4,33708.13,10039.89,33954.96,32312.29,28445.08,22194.73,37452.31,70497.3
KJFK,17532.11,24695.49,27385.05,17309.27,37079.36,0.0,14934.64,34514.38,19217.34,20743.95,33518.56,36108.3,38195.88,9296.32,24729.54,10873.22,20437.55,20515.69,9052.59,14712.57,10039.89,31266.18,11038.03,11535.55,36796.17,11352.95,19906.75,17541.4,25921.88,64439.93,48665.17
KCLT,11690.3,19704.8,24045.54,15507.98,33098.42,14675.43,0.0,30722.23,13904.0,15845.34,29214.19,34433.91,34890.42,14540.02,19180.97,16678.67,19149.25,15644.94,14704.06,14307.12,13680.39,27935.18,12837.77,12414.53,32599.35,12516.67,14371.35,12820.75,20540.45,61096.56,54451.27
KLAS,28055.11,20346.24,15764.87,25116.41,11697.26,33278.7,29717.9,0.0,31039.47,32489.48,11707.32,18328.3,13650.98,33056.63,21975.76,34704.72,22811.41,32477.1,33216.8,27922.03,32511.14,12655.94,31753.64,31321.89,11844.28,31570.26,30446.0,25900.99,20564.44,39754.99,68059.99
KMCO,13478.44,20119.53,26192.7,19808.49,33977.4,18998.37,13890.07,31935.47,0.0,10929.71,29884.26,37337.02,36410.07,18927.19,18590.6,20897.15,23180.49,10770.31,19061.82,19186.39,18111.65,30339.22,17313.14,16999.77,33244.65,17014.47,9932.34,15648.03,20145.07,61903.58,58022.13
KMIA,15538.93,21564.12,27936.73,21884.46,35300.51,20560.57,15864.68,33379.29,10995.47,0.0,31193.44,39170.81,37901.08,20516.47,19739.62,22370.37,25238.66,9095.14,20635.62,21223.67,19740.4,32029.87,19017.71,18752.32,34503.55,18736.07,11210.58,17695.38,21287.9,63038.67,58901.11
KPHX,26051.1,18332.94,15477.81,24314.81,13311.31,32259.67,28187.43,11875.23,28991.35,30312.14,0.0,20962.92,16215.97,32040.7,19691.65,33833.48,22556.85,30316.78,32208.6,26792.35,31422.47,14056.43,30600.75,30145.01,12573.15,30387.2,28342.18,24408.43,18226.17,41580.26,68472.4
KSEA,32723.92,26831.82,20011.21,27330.11,19104.37,35139.57,33613.73,18166.59,36560.17,38387.0,20744.72,0.0,16151.74,34926.79,29264.49,35937.31,23877.64,38308.85,35045.17,29835.51,34676.87,16006.28,34210.29,33899.25,20138.1,34142.98,36198.83,30379.46,28155.7,38465.92,63487.9
KSFO,32263.54,24735.73,19400.72,28967.37,12587.08,36906.81,33796.34,13311.31,35401.87,36895.21,15856.17,16149.42,0.0,36683.97,26413.99,38173.44,25916.47,36877.41,36834.86,31463.48,36211.21,15041.41,35519.48,35112.49,13661.04,35363.18,34830.84,30279.65,25006.54,35569.77,69569.57
KEWR,17366.53,24481.16,27156.02,17078.7,36852.65,9092.82,14784.53,34286.9,19135.32,20688.24,33284.89,35890.88,37968.4,0.0,24533.0,11021.01,20212.38,20460.76,9047.94,14481.99,9858.83,31037.92,10858.52,11350.62,36570.23,11179.63,19812.36,17335.58,25717.62,64215.55,48818.37
KIAH,16418.69,11527.81,18520.97,18794.87,24379.03,24071.85,18662.56,22556.85,18033.5,19213.47,20257.26,29800.69,27131.26,23888.47,0.0,26005.45,19962.46,19228.17,24066.43,20404.27,23080.68,21849.64,22122.0,21638.41,23567.36,21827.2,17317.79,15914.2,10634.91,52555.13,63594.68
KBOS,19591.84,26584.99,29150.74,18777.85,38614.48,11049.64,16999.77,36016.23,21187.31,22624.94,35150.4,36956.33,39526.73,11217.54,26727.36,0.0,21552.52,22395.91,11037.26,16160.25,12183.95,32583.87,13179.0,13565.1,38393.96,13500.1,21905.35,19491.25,27882.57,65650.08,46666.57
KMSP,18751.54,18270.27,16709.62,12551.49,26082.82,19904.43,18848.26,23468.32,22926.7,24971.72,23097.7,24596.45,26814.02,19687.01,20019.72,20929.65,0.0,24825.48,19816.22,14537.7,19389.11,19865.74,18914.03,18612.27,26002.36,18854.45,22885.69,16327.39,20161.32,53445.72,54964.27
KFLL,15395.79,21550.97,27878.7,21725.07,35311.34,20335.41,15668.92,33372.32,10850.01,9157.04,31205.05,39096.53,37887.15,20292.08,19763.61,22144.44,25096.29,0.0,20410.46,21036.43,19516.78,31982.67,18797.19,18533.35,34522.89,18515.55,11147.13,17559.19,21315.75,63078.13,58690.65
KLGA,17545.27,24666.09,27320.05,17238.86,37021.33,8984.5,14957.85,34454.03,19277.69,20815.14,33461.31,36013.91,38124.7,9222.81,24719.48,10850.01,20350.11,20586.88,0.0,14637.52,10040.67,31192.67,11040.35,11533.23,36742.78,11359.91,19960.92,17520.51,25904.09,64365.65,48646.6
KDTW,15435.25,20026.68,21827.97,11810.23,31511.46,14328.01,14233.62,28958.85,19138.42,21155.59,27683.71,30684.32,32638.04,14105.18,20750.91,15654.22,14886.66,20964.47,14250.64,0.0,13733.78,25376.39,13254.82,13079.96,31215.88,13216.91,19411.55,13882.34,21605.13,58947.08,52180.32
KPHL,16492.97,23715.15,26610.52,16588.91,36253.77,9875.08,13903.23,33708.13,18291.94,19884.31,32648.87,35618.52,37467.78,9728.85,23703.54,11971.17,19877.35,19657.61,9894.43,14057.2,0.0,30554.33,10006.62,10511.11,35941.17,10315.35,18955.04,16541.71,24909.82,63748.2,49669.5
KSLC,26082.82,19632.07,13315.95,22279.84,15411.26,30507.13,27402.07,13035.85,29876.52,31565.62,14308.67,16530.88,15699.87,30284.29,21691.79,31751.32,19506.72,31513.78,30432.85,24765.13,29832.42,0.0,29168.54,28773.15,15750.94,29024.62,29412.27,23934.89,20518.01,42285.92,64172.67
KBWI,15495.6,22761.12,25853.8,15931.22,35439.01,10841.5,13023.47,32912.72,17453.97,19122.94,31793.87,35126.42,36743.55,10683.65,22709.28,12931.4,19359.71,18897.78,10854.65,13518.67,9836.4,29853.31,0.0,9541.6,35099.33,9298.64,18083.02,15575.3,23926.38,63047.18,50632.04
KIAD,15015.11,22257.41,25419.72,15553.64,34981.72,11315.03,12573.92,32462.39,17117.38,18834.33,31316.47,34801.44,36320.31,11148.68,22204.02,13298.93,19037.06,18612.27,11322.77,13316.72,10314.57,29440.13,9355.12,0.0,34631.21,9120.68,17719.36,15070.82,23419.58,62630.91,51093.97
KSAN,29609.58,21587.34,18174.33,27356.42,10160.6,35402.64,31444.14,11738.27,32214.79,33485.29,12234.25,20246.43,13852.16,35182.12,22850.87,36924.61,25308.3,33498.45,35347.71,30148.11,34587.11,15330.8,33783.18,33333.64,0.0,33577.37,31550.14,27947.56,21365.27,38137.08,70799.06
KDCA,15172.95,22490.3,25676.61,15810.52,35233.19,11153.32,12695.4,32716.18,17145.24,18830.47,31573.36,35050.59,36576.42,11000.12,22408.29,13247.86,19286.98,18606.85,11170.34,13461.41,10148.22,29697.78,9190.31,9310.25,34880.36,0.0,17766.56,15297.52,23635.45,62883.92,50947.73
KTPA,13452.9,19476.55,25731.54,19850.27,33302.69,19652.96,14314.09,31310.28,9738.13,11061.24,29201.04,36953.24,35809.64,19570.17,17829.23,21581.15,23112.4,10980.77,19710.99,19430.9,18739.94,29844.8,17906.61,17565.39,32545.96,17599.43,0.0,15560.6,19387.57,61183.22,58830.7
KBNA,11318.9,16223.7,20453.79,13300.48,29488.87,17082.57,12492.68,26794.68,15480.13,17516.64,25325.32,31111.43,31280.88,16889.9,16226.02,18981.35,16497.61,17374.27,17067.86,13764.73,16111.51,24363.55,15172.18,14687.03,29009.15,14897.5,15432.93,0.0,17368.85,57520.29,56574.44
KAUS,17740.25,11058.15,17533.66,19354.29,22854.74,25187.6,19941.57,21091.36,19531.48,20702.94,18734.52,28649.35,25673.51,24996.48,10369.51,27084.83,20041.39,20721.51,25175.22,21188.86,24211.12,20623.25,23262.51,22777.37,22028.38,22977.77,18818.09,16976.56,0.0,51019.24,64488.36
PHNL,57621.65,49919.74,45414.2,54689.91,36582.61,62627.04,59354.08,38799.41,60195.92,61326.36,40465.29,37884.06,34894.29,62404.2,51045.55,63825.58,51775.97,61362.73,62552.76,57173.65,61943.82,41028.58,61252.86,60842.77,37203.16,61093.47,59494.12,55829.64,49546.02,0.0,89523.81
LFPG,24501.77,26687.0,26307.65,23367.46,29392.67,21331.06,23547.42,28483.45,24964.53,25328.73,28683.12,26633.29,28985.05,21387.33,26983.21,20566.37,23599.98,25246.75,21322.77,22612.77,21714.11,26909.8,22080.03,22254.56,29525.21,22201.43,25269.31,24316.96,27304.86,35997.19,0.0
