,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,00:00:00,2:57:32,2:52:58,0:30:20,5:12:24,2:52:48,1:38:53,4:32:08,2:03:24,2:29:53,4:36:17,3:46:14,5:02:41,2:50:50,2:15:25,3:18:38,1:04:07,2:27:58,2:53:02,2:29:52,2:39:49,3:31:14,2:27:23,2:21:28,5:16:34,2:23:18,2:03:44,0:40:39,2:40:15,10:37:37,11:16:48
KDFW,2:50:51,00:00:00,1:12:20,2:58:37,3:43:50,4:20:20,3:17:13,3:01:05,3:23:59,3:42:52,3:01:55,2:36:38,3:39:52,4:17:44,1:38:32,4:44:00,3:05:32,3:42:36,4:20:01,3:24:13,4:08:05,2:02:23,3:56:10,3:49:55,3:46:55,3:52:43,3:16:13,2:34:58,0:12:22,9:44:22,12:33:31
KDEN,3:55:44,2:38:21,00:00:00,3:10:37,2:23:22,4:52:52,4:12:56,2:03:26,4:41:53,5:04:25,1:18:33,2:09:58,3:22:19,4:49:59,3:06:55,5:10:40,2:41:43,5:03:35,4:52:01,3:43:07,4:43:25,1:47:36,4:34:11,4:28:50,2:06:37,4:32:05,4:36:20,3:27:58,2:54:56,8:36:13,12:24:08
KORD,2:33:26,1:27:15,3:12:38,00:00:00,4:52:58,2:50:03,2:30:32,4:28:50,3:26:48,3:53:26,3:48:41,3:52:44,5:29:41,2:47:10,1:05:56,3:07:37,1:07:50,3:51:19,2:49:07,1:39:57,2:41:26,3:56:17,2:33:37,2:29:04,4:37:09,2:32:17,3:27:44,2:04:11,1:26:59,10:50:38,10:43:14
KLAX,5:39:21,4:00:41,3:08:57,5:09:21,00:00:00,6:50:37,6:02:07,1:40:12,6:14:58,6:32:11,1:58:49,0:25:51,0:53:17,6:47:46,4:18:39,7:09:31,4:40:21,6:32:14,6:49:52,5:41:50,6:40:26,2:25:56,6:30:23,6:24:42,1:22:34,6:27:53,6:06:40,5:16:41,3:59:39,6:29:26,14:13:36
KJFK,1:49:27,3:48:00,4:39:46,2:34:23,6:50:33,00:00:00,1:20:18,6:11:39,1:07:23,0:56:06,6:18:31,4:51:17,6:27:43,1:05:10,3:20:54,1:33:20,2:43:28,0:55:05,0:21:55,1:59:26,0:52:20,5:04:02,1:02:08,1:09:22,6:58:53,1:02:39,1:17:51,2:21:22,3:43:56,11:12:26,9:31:26
KCLT,1:13:02,3:16:07,3:24:28,1:04:19,5:42:08,2:22:29,00:00:00,5:02:07,0:04:12,2:37:35,5:09:03,4:06:38,5:28:55,2:20:43,2:39:28,2:48:22,1:32:18,2:35:00,2:22:51,0:22:48,2:09:37,3:59:08,1:57:28,1:52:00,5:47:22,1:53:20,0:17:43,1:41:28,3:03:41,10:51:29,10:46:13
KLAS,5:11:38,3:35:46,2:36:33,4:37:25,1:00:55,6:19:09,5:33:08,00:00:00,5:50:13,6:08:57,1:42:52,0:49:53,1:45:50,6:16:17,3:56:49,6:37:35,4:07:38,6:08:47,6:18:21,5:09:55,6:09:14,1:55:07,5:59:27,5:53:52,0:32:49,5:57:04,5:42:32,4:47:34,3:38:35,6:55:06,13:42:06
KMCO,0:38:35,2:42:23,2:55:33,0:47:52,5:07:40,3:18:20,2:12:20,4:29:33,00:00:00,1:34:04,4:28:47,3:53:34,5:03:00,3:17:26,2:51:22,3:42:53,1:17:37,1:32:01,3:19:10,0:14:46,3:06:53,3:34:41,2:56:34,2:52:31,5:09:44,2:52:42,1:01:44,0:51:56,3:08:14,10:40:47,11:32:22
KMIA,0:41:50,2:37:12,2:55:44,0:52:29,5:04:48,3:38:32,0:05:59,4:27:37,0:20:35,00:00:00,4:24:59,3:55:47,5:02:14,3:37:58,2:41:30,4:01:55,1:21:25,1:10:22,3:39:30,0:21:00,3:27:56,3:35:08,3:18:36,3:15:10,5:06:02,3:14:57,0:46:53,0:55:02,2:59:19,10:42:25,11:43:44
KPHX,4:49:30,3:09:44,2:32:51,4:27:04,1:54:14,6:05:59,5:13:21,0:52:03,5:23:44,5:40:49,00:00:00,1:06:53,1:51:19,6:03:09,3:27:19,6:26:19,4:04:20,5:40:52,6:05:19,4:59:04,5:55:10,2:14:29,5:44:32,5:38:39,1:44:47,5:41:47,5:15:22,4:28:16,3:08:22,7:43:08,13:47:26
KSEA,6:11:59,4:59:35,3:31:26,5:06:01,3:19:43,6:43:12,6:23:29,3:07:35,7:01:34,7:25:10,3:40:55,00:00:00,0:00:35,6:40:27,5:27:16,6:53:31,4:21:24,7:24:10,6:41:59,5:34:39,6:37:13,2:39:40,6:31:11,6:27:10,3:33:05,6:30:19,6:56:53,5:41:41,5:12:56,5:02:53,12:43:01
KSFO,6:06:02,4:32:30,3:23:32,5:23:26,1:54:14,7:06:02,6:25:50,2:04:51,6:46:36,7:05:53,2:37:44,2:41:32,00:00:00,7:03:10,4:54:11,7:22:25,4:47:46,7:05:40,7:05:07,5:55:41,6:57:03,2:27:13,6:48:07,6:42:51,2:09:22,6:46:05,6:39:13,5:40:24,4:35:59,5:30:58,14:01:37
KEWR,1:45:25,3:43:54,4:37:58,2:32:11,6:49:07,1:10:19,1:16:01,6:10:07,1:03:47,0:52:40,6:14:06,4:49:52,6:26:17,00:00:00,3:16:55,1:35:15,2:41:16,0:51:38,1:09:44,1:56:59,0:41:23,5:02:20,0:55:28,1:03:32,6:57:26,0:56:27,1:14:16,2:17:16,3:39:53,11:12:02,9:33:25
KIAH,2:45:00,0:30:28,1:17:26,3:15:43,3:38:03,4:23:55,3:14:00,2:57:52,3:05:52,3:21:08,2:53:29,2:41:13,3:38:40,4:21:33,00:00:00,4:48:54,3:30:49,3:21:19,4:23:50,3:36:31,4:11:07,2:05:23,3:58:43,3:52:28,3:39:02,3:54:55,2:56:38,2:38:29,1:24:04,9:41:29,12:44:23
KBOS,2:07:54,4:05:22,5:05:40,3:07:27,7:12:36,0:55:38,1:38:58,6:34:29,1:28:52,1:17:58,6:35:53,5:06:33,6:46:48,1:01:52,3:40:10,00:00:00,3:10:39,1:16:56,0:58:56,2:36:19,1:06:02,5:26:13,1:16:17,1:22:57,7:21:50,1:17:52,1:39:09,2:36:30,4:03:01,11:15:49,9:05:37
KMSP,3:15:09,0:33:07,2:00:28,1:53:46,3:45:34,3:30:04,3:16:25,3:20:37,4:09:07,4:35:32,2:45:13,3:39:29,4:33:31,3:27:14,0:17:29,3:43:19,00:00:00,4:33:40,3:28:55,2:20:41,3:23:23,3:07:23,3:17:15,3:13:22,3:31:38,3:16:29,4:08:35,2:43:49,0:36:45,10:29:44,10:52:51
KFLL,0:43:52,2:39:35,2:57:18,0:53:41,5:06:38,3:35:38,0:07:20,4:29:22,0:25:01,0:19:40,4:27:01,3:56:44,5:03:44,3:35:04,2:44:23,3:59:00,1:22:31,00:00:00,3:36:36,0:22:03,3:25:03,3:36:34,3:15:44,3:12:20,5:08:00,3:12:07,0:52:29,0:56:44,3:02:04,10:43:13,11:41:01
KLGA,1:47:53,3:46:17,4:40:09,2:34:55,6:50:57,1:08:55,1:18:37,6:12:01,1:06:19,0:55:08,6:16:35,4:51:17,6:27:56,0:56:16,3:19:23,1:33:02,2:43:38,0:54:07,00:00:00,2:00:05,0:46:28,5:04:16,0:58:37,1:06:17,6:59:20,0:59:32,1:16:45,2:19:31,3:42:22,11:12:26,9:31:12
KDTW,0:10:35,2:08:53,3:52:16,1:41:39,5:37:08,2:17:59,2:16:46,5:11:49,3:20:10,3:46:13,4:31:41,4:15:17,5:53:15,2:15:07,1:46:08,2:35:08,1:48:13,3:43:45,2:16:59,00:00:00,2:10:18,4:23:20,2:04:07,2:00:36,5:21:17,2:03:37,3:23:41,0:36:34,2:07:30,11:00:44,10:16:52
KPHL,1:38:59,3:38:19,4:26:41,2:17:49,6:39:14,1:20:26,1:09:17,5:59:58,0:55:28,0:44:07,6:08:40,4:43:19,6:17:48,1:18:33,3:10:16,1:46:16,2:29:54,0:43:05,1:20:41,1:40:37,00:00:00,4:52:41,0:54:03,1:02:20,6:47:07,0:53:02,1:06:05,2:12:58,3:33:23,11:09:52,9:44:25
KSLC,4:49:54,3:26:32,2:03:39,4:00:46,1:07:19,5:43:20,5:06:57,0:39:46,5:35:11,5:57:01,0:00:16,1:24:27,2:05:43,5:40:27,3:53:10,5:59:25,3:24:55,5:56:20,5:42:22,4:32:52,5:34:37,00:00:00,5:26:02,5:20:55,0:52:06,5:24:10,5:29:11,4:22:09,3:37:59,7:10:10,12:51:52
KBWI,1:28:19,3:28:42,4:14:00,2:01:47,6:28:10,1:32:55,0:57:26,5:48:35,0:43:23,0:32:08,5:58:52,4:35:28,6:08:04,1:30:53,2:59:43,1:58:41,2:16:55,0:31:02,1:33:05,1:22:10,1:19:56,4:41:40,00:00:00,0:59:36,6:35:39,0:34:46,0:54:14,2:04:43,3:22:55,11:06:50,9:56:52
KIAD,1:21:25,3:22:29,4:07:53,1:53:58,6:22:51,1:39:03,0:49:17,5:43:05,0:36:19,0:25:17,5:52:25,4:31:28,6:03:17,1:36:53,2:53:12,2:04:41,2:10:28,0:24:10,1:39:08,1:12:58,1:26:07,4:36:15,1:13:43,00:00:00,6:30:12,1:10:41,0:47:18,1:58:59,3:16:25,11:05:10,10:02:50
KSAN,5:31:44,3:51:48,3:07:42,5:06:22,0:38:14,6:46:36,5:55:26,1:43:16,6:05:24,6:21:49,1:49:40,0:33:01,0:59:29,6:43:45,4:08:08,7:06:16,4:39:54,6:21:59,6:45:53,5:38:41,6:36:04,2:30:57,6:25:40,6:19:52,00:00:00,6:23:01,5:56:49,5:10:15,3:48:56,6:48:52,14:17:30
KDCA,1:26:20,3:27:10,4:09:47,1:56:31,6:24:23,1:36:58,0:55:09,5:44:44,0:40:23,0:29:05,5:56:55,4:33:02,6:04:50,1:34:59,2:57:41,2:02:46,2:12:52,0:27:59,1:37:11,1:16:12,1:23:58,4:38:04,1:11:35,1:00:48,6:31:42,00:00:00,0:51:20,2:03:56,3:20:58,11:05:48,10:00:56
KTPA,0:22:50,2:29:41,2:45:53,0:38:39,4:57:52,3:26:49,2:17:48,4:19:50,1:18:40,1:35:46,4:18:10,3:46:52,4:54:20,3:25:44,2:37:32,3:51:44,1:09:16,1:34:43,3:27:34,0:05:52,3:15:00,3:25:50,3:04:14,2:59:50,4:59:35,3:00:16,00:00:00,0:39:31,2:54:56,10:35:15,11:42:49
KBNA,1:39:06,2:11:54,2:50:17,0:12:50,5:13:58,2:53:35,1:53:01,4:32:28,2:32:52,2:59:12,4:40:02,3:40:23,5:01:05,2:51:06,1:36:20,3:18:08,0:52:32,2:57:22,2:53:24,2:10:42,2:41:02,3:27:38,2:28:54,2:22:38,5:19:29,2:25:21,2:32:16,00:00:00,2:00:50,10:36:03,11:13:40
KAUS,3:02:05,1:35:44,0:59:18,3:22:57,3:22:02,4:38:20,3:30:32,2:41:19,3:25:14,3:40:23,2:36:19,2:28:24,3:23:31,4:35:52,1:26:49,5:02:52,3:31:49,3:40:37,4:38:10,3:46:39,4:25:43,1:49:24,4:13:28,4:07:11,3:22:55,4:09:47,3:16:01,2:52:13,00:00:00,9:30:38,12:55:56
PHNL,11:33:46,9:54:13,8:55:59,10:55:52,7:01:51,12:38:27,11:56:09,7:30:30,12:07:02,12:21:38,7:52:02,7:18:40,6:40:02,12:35:34,10:08:46,12:53:56,10:18:13,12:22:07,12:37:29,11:27:58,12:29:37,7:59:19,12:20:41,12:15:23,7:09:52,12:18:38,11:57:58,11:10:36,9:49:23,00:00:00,18:19:30
