,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0,246,93,295,410,628,87,71,84,193,159,127,242,628,227,155,115,193,628,134,193,40,193,193,103,193,99,62,75,31,404
KDFW,247,0,118,373,519,794,110,90,106,244,200,161,306,794,287,196,145,244,794,169,244,51,244,244,130,244,126,79,94,39,511
KDEN,92,115,0,138,192,294,41,33,39,90,74,60,114,294,106,73,54,90,294,63,90,19,90,90,48,90,47,29,35,15,189
KORD,300,376,143,0,629,962,133,110,129,295,243,195,371,962,348,238,176,295,962,205,295,62,295,295,157,295,152,95,114,48,619
KLAX,432,542,206,651,0,1385,192,158,185,425,350,281,535,1385,501,343,254,425,1385,295,425,89,425,425,226,425,219,137,165,69,891
KJFK,895,1122,426,1350,1875,0,398,327,384,881,724,582,1108,2869,1037,710,526,881,2869,611,881,185,881,881,469,881,455,284,341,142,1847
KCLT,86,107,41,129,179,274,0,31,37,84,69,56,106,274,99,68,50,84,274,58,84,18,84,84,45,84,43,27,33,14,177
KLAS,70,88,33,106,147,225,31,0,30,69,57,46,87,225,81,56,41,69,225,48,69,14,69,69,37,69,36,22,27,11,145
KMCO,84,105,40,126,175,269,37,31,0,82,68,55,104,269,97,66,49,82,269,57,82,17,82,82,44,82,43,27,32,13,173
KMIA,199,249,95,300,416,637,88,73,85,0,161,129,246,637,230,158,117,196,637,136,196,41,196,196,104,196,101,63,76,32,410
KPHX,158,198,75,238,330,505,70,58,68,155,0,103,195,505,183,125,93,155,505,108,155,33,155,155,83,155,80,50,60,25,325
KSEA,126,158,60,190,264,404,56,46,54,124,102,0,156,404,146,100,74,124,404,86,124,26,124,124,66,124,64,40,48,20,260
KSFO,244,306,116,368,512,783,109,89,105,240,198,159,0,783,283,194,143,240,783,167,240,50,240,240,128,240,124,78,93,39,504
KEWR,936,1173,446,1411,1961,3000,416,342,401,921,758,609,1159,0,1084,743,550,921,3000,639,921,193,921,921,490,921,475,297,356,149,1931
KIAH,231,289,110,348,483,740,103,84,99,227,187,150,286,740,0,183,136,227,740,158,227,48,227,227,121,227,117,73,88,37,476
KBOS,154,194,74,233,324,495,69,56,66,152,125,100,191,495,179,0,91,152,495,105,152,32,152,152,81,152,78,49,59,25,319
KMSP,114,142,54,171,238,364,50,41,49,112,92,74,141,364,132,90,0,112,364,77,112,23,112,112,59,112,58,36,43,18,234
KFLL,199,249,95,300,416,637,88,73,85,196,161,129,246,637,230,158,117,0,637,136,196,41,196,196,104,196,101,63,76,32,410
KLGA,895,1122,426,1350,1875,2869,398,327,384,881,724,582,1108,2869,1037,710,526,881,0,611,881,185,881,881,469,881,455,284,341,142,1847
KDTW,132,166,63,200,277,424,59,48,57,130,107,86,164,424,153,105,78,130,424,0,130,27,130,130,69,130,67,42,50,21,273
KPHL,316,396,150,477,662,1013,140,115,135,311,256,206,391,1013,366,251,186,311,1013,216,0,65,311,311,166,311,161,100,120,50,652
KSLC,39,49,19,59,83,126,18,14,17,39,32,26,49,126,46,31,23,39,126,27,39,0,39,39,21,39,20,13,15,6,81
KBWI,238,299,113,359,499,764,106,87,102,234,193,155,295,764,276,189,140,234,764,163,234,49,0,234,125,234,121,76,91,38,491
KIAD,212,266,101,320,444,680,94,77,91,209,172,138,263,680,246,168,125,209,680,145,209,44,209,0,111,209,108,67,81,34,438
KSAN,108,135,51,163,226,346,48,39,46,106,87,70,134,346,125,86,63,106,346,74,106,22,106,106,0,106,55,34,41,17,223
KDCA,212,266,101,320,444,680,94,77,91,209,172,138,263,680,246,168,125,209,680,145,209,44,209,209,111,0,108,67,81,34,438
KTPA,99,124,47,150,208,318,44,36,43,98,80,65,123,318,115,79,58,98,318,68,98,20,98,98,52,98,0,32,38,16,205
KBNA,61,76,29,92,128,195,27,22,26,60,49,40,75,195,71,48,36,60,195,42,60,13,60,60,32,60,31,0,23,10,126
KAUS,76,95,36,114,159,243,34,28,33,75,61,49,94,243,88,60,45,75,243,52,75,16,75,75,40,75,39,24,0,12,157
PHNL,30,38,14,46,63,97,13,11,13,30,25,20,38,97,35,24,18,30,97,21,30,6,30,30,16,30,15,10,12,0,62
LFPG,418,524,199,630,876,1340,186,153,179,411,338,272,517,1340,484,332,245,411,1340,285,411,86,411,411,219,411,212,133,159,66,0
