,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0.0,177.53,172.96,30.33,312.4,172.8,98.89,272.14,123.4,149.89,276.29,226.24,302.69,170.83,135.41,198.63,64.11,147.96,173.04,149.86,159.82,211.24,147.39,141.47,316.56,143.3,123.73,40.65,160.25,637.62,676.8
KDFW,170.85,0.0,72.34,178.62,223.83,260.33,197.22,181.08,203.99,222.87,181.92,156.64,219.87,257.73,98.54,284.0,185.54,222.6,260.02,204.21,248.08,122.38,236.16,229.92,226.92,232.72,196.22,154.96,12.37,584.36,753.51
KDEN,235.74,158.35,0.0,190.61,143.37,292.87,252.93,123.44,281.88,304.41,78.55,129.96,202.31,289.99,186.92,310.67,161.72,303.59,292.01,223.12,283.42,107.6,274.19,268.84,126.61,272.08,276.34,207.97,174.93,516.22,744.14
KORD,153.44,87.25,192.63,0.0,292.97,170.05,150.54,268.84,206.8,233.43,228.69,232.74,329.69,167.16,65.94,187.61,67.84,231.32,169.12,99.95,161.44,236.29,153.61,149.06,277.15,152.28,207.73,124.18,86.99,650.63,643.23
KLAX,339.35,240.68,188.95,309.35,0.0,410.62,362.12,100.2,374.96,392.18,118.81,25.85,53.29,407.76,258.65,429.52,280.35,392.24,409.86,341.83,400.44,145.93,390.39,384.7,82.57,387.89,366.66,316.68,239.65,389.43,853.6
KJFK,109.45,228.0,279.77,154.39,410.55,0.0,80.3,371.65,67.39,56.1,378.51,291.28,387.71,65.16,200.9,93.33,163.46,55.08,21.92,119.43,52.34,304.03,62.13,69.37,418.88,62.65,77.85,141.36,223.93,672.43,571.44
KCLT,73.04,196.11,204.46,64.32,342.13,142.48,0.0,302.12,4.2,157.59,309.05,246.64,328.91,140.72,159.46,168.36,92.3,155.0,142.85,22.8,129.62,239.14,117.47,112.0,347.37,113.33,17.72,101.47,183.68,651.48,646.22
KLAS,311.64,215.76,156.55,277.41,60.91,379.15,333.13,0.0,350.21,368.95,102.86,49.88,105.83,376.28,236.82,397.58,247.63,368.79,378.35,309.92,369.23,115.12,359.45,353.86,32.81,357.07,342.54,287.56,218.59,415.1,822.1
KMCO,38.58,162.38,175.55,47.86,307.66,198.34,132.33,269.55,0.0,94.07,268.78,233.57,303.0,197.43,171.36,222.89,77.61,92.01,199.16,14.76,186.88,214.69,176.57,172.51,309.73,172.7,61.73,51.93,188.23,640.78,692.37
KMIA,41.84,157.2,175.73,52.49,304.8,218.54,5.98,267.61,20.58,0.0,264.99,235.78,302.23,217.97,161.5,241.92,81.41,70.36,219.5,21.0,207.94,215.14,198.6,195.17,306.04,194.95,46.88,55.04,179.31,642.41,703.73
KPHX,289.5,189.74,152.85,267.06,114.24,365.98,313.35,52.05,323.74,340.81,0.0,66.89,111.31,363.15,207.31,386.32,244.34,340.87,365.32,299.07,355.17,134.48,344.54,338.65,104.79,341.78,315.36,268.26,188.36,463.14,827.43
KSEA,371.98,299.58,211.44,306.02,199.71,403.2,383.48,187.59,421.56,445.17,220.91,0.0,0.58,400.45,327.27,413.51,261.4,444.16,401.98,334.65,397.22,159.67,391.19,387.17,213.08,390.32,416.89,341.68,312.94,302.88,763.01
KSFO,366.03,272.5,203.54,323.43,114.23,426.04,385.84,124.85,406.6,425.89,157.73,161.53,0.0,423.16,294.19,442.41,287.76,425.66,425.11,355.69,417.05,147.21,408.12,402.85,129.36,406.09,399.21,340.4,275.99,330.96,841.61
KEWR,105.41,223.9,277.97,152.18,409.11,70.32,76.02,370.11,63.79,52.66,374.1,289.87,386.28,0.0,196.92,95.25,161.27,51.63,69.74,116.99,41.38,302.34,55.46,63.53,417.44,56.45,74.26,137.27,219.89,672.03,573.42
KIAH,165.0,30.47,77.43,195.72,218.05,263.91,194.0,177.86,185.87,201.13,173.49,161.22,218.66,261.55,0.0,288.9,210.81,201.32,263.84,216.51,251.11,125.39,238.71,232.46,219.03,234.91,176.63,158.49,84.06,581.49,764.39
KBOS,127.9,245.36,305.66,187.45,432.6,55.63,98.96,394.48,88.86,77.96,395.88,306.55,406.8,61.87,220.16,0.0,190.65,76.94,58.94,156.31,66.04,326.21,76.28,82.95,441.84,77.86,99.15,156.5,243.01,675.81,545.61
KMSP,195.15,33.12,120.46,113.77,225.57,210.06,196.41,200.62,249.11,275.54,165.22,219.49,273.52,207.24,17.48,223.31,0.0,273.66,208.92,140.69,203.39,187.39,197.25,193.36,211.63,196.48,248.58,163.82,36.75,629.73,652.85
KFLL,43.86,159.58,177.3,53.68,306.64,215.63,7.34,269.36,25.01,19.67,267.02,236.74,303.73,215.06,164.38,239.0,82.52,0.0,216.6,22.05,205.05,216.57,195.74,192.34,308.0,192.11,52.48,56.74,182.06,643.21,701.01
KLGA,107.88,226.29,280.15,154.92,410.95,68.92,78.61,372.02,66.31,55.14,376.59,291.28,387.94,56.27,199.39,93.04,163.63,54.11,0.0,120.08,46.47,304.26,58.62,66.29,419.34,59.53,76.75,139.51,222.37,672.44,571.2
KDTW,10.59,128.89,232.26,101.65,337.13,137.98,136.76,311.82,200.16,226.22,271.68,255.28,353.25,135.11,106.14,155.13,108.21,223.75,136.98,0.0,130.3,263.34,124.11,120.6,321.29,123.62,203.68,36.57,127.5,660.74,616.87
KPHL,98.99,218.31,266.68,137.81,399.23,80.43,69.29,359.97,55.46,44.12,368.67,283.31,377.8,78.55,190.27,106.27,149.9,43.08,80.68,100.62,0.0,292.69,54.05,62.34,407.12,53.03,66.08,132.96,213.38,669.86,584.42
KSLC,289.9,206.53,123.65,240.76,67.31,343.33,306.95,39.77,335.18,357.01,0.27,84.45,125.72,340.45,233.16,359.41,204.92,356.34,342.37,272.87,334.62,0.0,326.03,320.92,52.1,324.17,329.18,262.15,217.99,430.17,771.86
KBWI,88.32,208.7,254.0,121.78,388.16,92.92,57.44,348.58,43.38,32.13,358.87,275.47,368.06,90.88,179.72,118.69,136.91,31.04,93.09,82.17,79.94,281.67,0.0,59.6,395.65,34.77,54.23,124.72,202.92,666.84,596.86
KIAD,81.42,202.48,247.88,113.96,382.85,99.05,49.28,343.09,36.32,25.28,352.42,271.46,363.28,96.89,173.2,124.69,130.46,24.16,99.14,72.96,86.12,276.25,73.71,0.0,390.2,70.69,47.3,118.99,196.41,665.16,602.83
KSAN,331.73,231.8,187.7,306.37,38.24,406.6,355.44,103.27,365.4,381.82,109.67,33.01,59.48,403.75,248.14,426.27,279.9,381.99,405.89,338.69,396.06,150.95,385.67,379.86,0.0,383.01,356.81,310.25,228.94,408.86,857.5
KDCA,86.34,207.16,249.79,116.52,384.38,96.96,55.15,344.73,40.39,29.08,356.92,273.04,364.84,94.98,177.69,122.77,132.87,27.98,97.18,76.2,83.97,278.07,71.58,60.8,391.7,0.0,51.34,123.93,200.96,665.8,600.94
KTPA,22.83,149.68,165.88,38.65,297.87,206.81,137.8,259.84,78.67,95.77,258.17,226.86,294.34,205.74,157.54,231.73,69.26,94.72,207.56,5.87,195.0,205.84,184.23,179.83,299.58,180.27,0.0,39.51,174.94,635.25,702.82
KBNA,99.1,131.9,170.28,12.83,313.97,173.58,113.01,272.47,152.87,179.2,280.04,220.38,301.08,171.1,96.34,198.13,52.53,177.36,173.4,130.7,161.03,207.64,148.9,142.63,319.48,145.35,152.27,0.0,120.83,636.05,673.66
KAUS,182.08,95.73,59.3,202.95,202.04,278.34,210.54,161.32,205.23,220.38,156.31,148.4,203.52,275.87,86.82,302.86,211.82,220.61,278.17,226.65,265.71,109.4,253.46,247.18,202.91,249.78,196.01,172.22,0.0,570.63,775.94
PHNL,693.76,594.22,535.99,655.87,421.85,758.45,716.15,450.5,727.03,741.64,472.03,438.67,400.03,755.57,608.77,773.94,618.21,742.11,757.49,687.97,749.62,479.31,740.69,735.39,429.87,738.63,717.96,670.6,589.39,0.0,1099.5
LFPG,538.2,533.3,442.28,441.94,454.88,453.67,518.87,447.17,598.95,631.29,485.78,315.3,401.93,453.41,567.89,431.6,407.41,627.86,452.21,440.47,463.47,410.04,472.26,475.29,472.26,476.12,604.16,507.23,561.21,241.49,0.0
