,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0.0,170.85,233.56,145.91,342.03,165.36,93.73,313.49,117.49,143.16,287.95,370.03,367.47,163.45,161.44,190.39,187.73,141.28,165.59,143.12,152.78,282.39,140.73,135.0,334.82,136.77,117.8,93.65,179.02,693.54,658.68
KDFW,163.53,0.0,154.4,171.0,238.46,250.18,189.03,212.53,195.58,213.88,187.34,292.77,269.14,247.66,93.39,273.12,177.7,213.62,249.88,195.79,238.31,197.91,226.76,220.71,229.98,223.43,188.06,148.07,89.24,594.86,733.02
KDEN,226.41,151.42,0.0,182.62,184.98,281.72,243.01,152.76,271.06,292.9,147.32,206.23,201.56,278.92,179.04,303.05,154.62,292.11,280.88,214.12,272.56,118.37,263.61,258.43,183.08,261.57,265.69,199.44,167.42,535.59,723.94
KORD,146.66,176.6,192.57,0.0,314.09,162.69,143.79,277.87,198.31,224.11,266.17,304.1,329.27,159.89,190.29,179.71,112.33,222.07,161.79,96.13,154.35,237.73,146.77,142.36,306.28,145.47,199.21,118.24,198.17,659.31,626.15
KLAX,330.91,231.2,181.07,301.78,0.0,399.92,352.92,96.36,365.35,382.04,114.4,192.51,112.17,397.14,248.56,418.23,269.58,382.1,399.17,333.25,390.05,139.22,380.31,374.8,77.92,377.89,357.32,308.88,230.14,421.63,830.02
KJFK,171.87,261.62,295.31,169.05,417.14,0.0,139.27,385.01,192.89,212.0,372.54,404.94,431.12,68.69,261.97,88.35,208.21,209.14,65.58,136.52,77.97,344.22,90.48,96.72,413.59,94.42,201.53,171.94,276.91,759.62,556.58
KCLT,98.72,199.12,253.47,146.44,367.27,135.97,0.0,337.5,126.31,150.62,318.63,383.96,389.71,134.27,192.48,161.06,192.04,148.11,136.33,131.37,123.51,302.02,113.1,107.8,361.02,109.09,132.17,112.99,209.52,717.75,629.04
KLAS,304.06,207.05,149.68,266.74,98.89,369.42,324.82,0.0,341.38,359.54,98.95,181.75,123.23,366.63,227.4,387.28,237.87,359.38,368.64,302.33,359.81,110.73,350.32,344.91,100.7,348.02,333.94,276.57,209.73,450.46,799.49
KMCO,121.07,204.29,280.34,200.29,378.26,190.11,126.14,352.69,0.0,89.06,327.01,420.31,408.72,189.22,185.09,213.9,242.52,87.07,190.9,192.48,179.0,332.57,169.01,165.08,369.09,165.26,76.64,148.18,204.56,727.85,673.78
KMIA,146.88,222.38,302.18,226.28,394.83,209.68,150.86,370.77,89.9,0.0,343.39,443.28,427.39,209.13,199.47,232.34,268.29,66.09,210.61,217.99,199.41,353.75,190.36,187.03,384.85,186.82,92.62,173.83,218.87,742.07,684.78
KPHX,278.51,181.84,146.09,256.7,119.14,356.66,305.65,101.1,315.72,332.27,0.0,214.75,155.34,353.92,198.8,376.37,234.68,332.33,356.02,287.73,346.18,128.12,335.88,330.17,109.89,333.2,307.6,257.87,180.44,473.33,804.65
KSEA,362.53,288.28,202.86,294.46,191.44,392.72,373.61,179.69,410.52,433.39,211.98,0.0,154.46,390.06,319.15,402.71,251.22,432.42,391.55,326.3,386.93,152.53,381.09,377.19,204.39,380.24,405.99,333.1,305.26,434.29,742.23
KSFO,356.77,262.04,195.21,315.43,109.97,414.86,375.91,118.89,396.02,414.72,150.76,154.43,0.0,412.06,282.99,430.72,276.76,414.49,413.96,346.68,406.15,140.46,397.49,392.39,123.26,395.53,388.86,331.86,265.36,398.03,818.4
KEWR,169.79,258.93,292.44,166.16,414.3,66.05,137.39,382.16,191.86,211.3,369.62,402.22,428.26,0.0,259.51,90.2,205.4,208.45,65.49,133.64,75.7,341.35,88.23,94.39,410.77,92.25,200.35,169.36,274.34,756.81,558.5
KIAH,157.87,96.64,184.23,187.57,257.58,253.65,185.9,234.76,178.03,192.81,205.96,325.92,292.05,251.36,0.0,277.87,202.19,192.99,253.58,207.72,241.25,225.78,229.23,223.17,247.43,225.54,169.07,151.49,85.46,610.78,743.56
KBOS,197.67,285.28,317.9,187.45,436.37,90.61,165.14,403.82,217.57,235.57,392.98,415.57,447.78,92.73,286.99,0.0,222.18,232.69,90.46,154.66,104.99,360.72,117.44,122.13,433.61,121.47,226.56,196.36,301.46,774.77,531.55
KMSP,187.08,181.07,161.58,109.52,278.92,201.46,188.24,246.17,239.31,264.92,241.52,260.31,288.09,198.74,202.91,214.3,0.0,263.09,200.36,134.24,195.01,200.97,189.05,185.28,277.91,188.31,238.8,156.66,204.69,621.94,635.47
