,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0.0,173.79,238.54,148.21,350.02,168.3,94.38,320.58,118.9,145.39,294.7,378.95,376.29,166.33,164.17,194.13,191.34,143.45,168.53,145.35,155.31,289.1,142.88,136.97,342.58,138.8,119.22,94.26,182.3,712.93,676.8
KDFW,166.35,0.0,156.88,174.11,243.63,255.82,192.72,216.89,199.49,218.36,190.89,299.72,275.3,253.22,94.03,279.49,181.04,218.1,255.52,199.7,243.57,201.93,231.65,225.41,234.88,228.22,191.72,150.46,89.73,611.1,753.51
KDEN,231.23,153.85,0.0,186.11,188.47,288.37,248.42,155.21,277.38,299.91,149.63,210.41,205.56,285.49,182.41,309.92,157.21,299.09,287.51,218.61,278.91,119.66,269.68,264.34,186.51,267.57,271.83,203.47,170.42,549.94,744.14
KORD,148.94,179.78,196.21,0.0,321.19,165.54,146.04,284.3,202.3,228.93,272.23,311.39,336.85,162.66,193.99,183.11,113.36,226.82,164.61,96.7,156.93,242.99,149.11,144.56,313.62,147.77,203.23,119.67,202.11,677.61,643.23
KLAX,338.6,236.17,184.44,308.6,0.0,409.87,361.37,96.94,374.2,391.43,115.55,196.3,113.21,407.0,254.15,428.76,275.84,391.49,409.1,341.08,399.69,141.42,389.64,383.95,78.06,387.14,365.91,315.93,235.15,432.34,853.6
KJFK,174.89,267.47,302.23,172.01,427.52,0.0,141.32,394.37,196.67,216.4,381.5,414.97,441.95,68.45,267.91,88.83,212.44,213.45,65.3,138.45,78.06,352.39,90.96,97.39,423.86,95.03,205.58,175.01,283.32,781.13,571.44
KCLT,99.39,202.97,259.07,148.73,376.07,137.97,0.0,345.36,128.0,153.09,325.87,393.33,399.23,136.22,196.2,163.86,195.79,150.5,138.34,133.21,125.11,309.34,114.22,108.75,369.62,110.07,134.04,114.0,213.77,737.92,646.22
KLAS,310.89,211.26,152.05,272.91,99.48,378.4,332.38,0.0,349.46,368.2,99.61,185.18,124.73,375.53,232.32,396.83,243.12,368.04,377.6,309.17,368.48,111.87,358.69,353.11,101.38,356.32,341.79,283.05,214.08,462.1,822.1
KMCO,122.5,208.33,286.82,204.31,387.43,193.84,127.82,361.04,0.0,89.56,334.53,430.85,418.87,192.92,188.57,218.38,247.89,87.5,194.66,196.27,182.38,340.41,172.06,168.01,377.96,168.2,76.67,150.54,208.66,748.35,692.37
KMIA,149.13,227.0,309.36,231.14,404.53,214.03,153.34,379.7,90.41,0.0,351.45,454.55,438.14,213.46,203.42,237.42,274.49,65.85,215.0,222.6,203.43,362.26,194.09,190.66,394.23,190.45,93.19,177.0,223.43,763.02,703.73
KPHX,284.99,185.24,148.34,262.55,120.34,365.23,312.6,101.78,322.99,340.06,0.0,219.23,157.88,362.4,202.8,385.57,239.83,340.12,364.57,294.57,354.41,129.97,343.79,337.9,110.8,341.03,314.6,263.76,183.86,485.69,827.43
KSEA,371.23,295.08,206.93,301.52,195.21,402.45,382.73,183.09,420.81,444.42,216.41,0.0,157.05,399.7,326.52,412.76,256.9,443.41,401.23,333.9,396.47,155.17,390.44,386.42,208.57,389.57,416.14,340.93,312.19,445.44,763.01
KSFO,365.28,267.99,199.04,322.68,110.98,425.29,385.09,120.34,405.84,425.14,153.23,157.02,0.0,422.41,289.68,441.66,283.25,424.91,424.36,354.94,416.3,142.7,407.36,402.1,124.86,405.34,398.46,339.64,271.49,408.01,841.61
KEWR,172.75,264.7,299.27,169.03,424.59,65.82,139.38,391.43,195.61,215.68,378.48,412.16,439.01,0.0,265.37,90.74,209.53,212.74,65.24,135.47,75.72,349.44,88.64,95.0,420.94,92.79,204.36,172.35,280.68,778.23,573.42
KIAH,160.5,97.29,187.67,191.21,263.38,259.41,189.5,239.83,181.37,196.62,210.11,333.45,298.95,257.04,0.0,284.4,206.3,196.81,259.34,212.01,246.6,230.69,234.21,227.96,252.89,230.4,172.12,153.98,85.75,627.53,764.39
KBOS,201.51,291.89,325.05,190.99,447.36,91.11,168.01,413.78,222.13,240.71,402.59,425.93,459.15,93.28,293.73,0.0,226.85,237.75,90.95,157.16,105.77,369.42,118.63,123.62,444.51,122.78,231.41,200.21,308.66,796.77,545.61
KMSP,190.65,184.43,164.26,110.52,285.4,205.55,191.9,251.61,244.61,271.04,246.82,266.19,294.85,202.74,207.04,218.8,0.0,269.15,204.41,136.19,198.89,205.05,192.75,188.85,284.36,191.98,244.08,159.32,208.87,639.04,652.85
KFLL,147.28,226.83,308.61,229.08,404.67,211.12,150.81,379.61,88.53,66.65,351.6,453.59,437.96,210.56,203.73,234.5,272.65,0.0,212.09,220.18,200.54,361.65,191.24,187.83,394.48,187.6,92.37,175.24,223.79,763.53,701.01
KLGA,175.06,267.09,301.39,171.1,426.77,64.42,141.62,393.59,197.45,217.32,380.76,413.75,441.03,67.5,267.78,88.53,211.31,214.37,0.0,137.48,78.07,351.44,90.99,97.36,423.17,95.12,206.28,174.74,283.09,780.17,571.2
KDTW,147.79,207.13,230.41,100.94,355.56,133.48,132.26,322.57,195.65,221.72,306.09,344.87,370.12,130.6,216.49,150.62,140.7,219.25,132.48,0.0,125.8,276.27,119.61,117.35,351.74,119.12,199.18,127.72,227.53,710.14,616.87
KPHL,161.46,254.8,292.22,162.7,416.85,75.93,127.99,383.95,184.71,205.29,370.26,408.64,432.54,74.04,254.65,103.02,205.2,202.36,76.18,129.98,0.0,343.19,77.63,84.15,412.81,81.62,193.28,162.09,270.24,772.19,584.42
KSLC,285.4,202.03,120.4,236.25,147.48,342.58,302.45,116.78,334.43,356.26,133.23,161.95,151.21,339.7,228.65,358.66,200.41,355.59,341.62,268.37,333.86,0.0,325.28,320.17,151.87,323.42,328.43,257.64,213.48,494.81,771.86
KBWI,148.57,242.47,282.44,154.2,406.32,88.42,116.62,373.67,173.88,195.45,359.21,402.28,423.18,86.38,241.8,115.43,198.51,192.54,88.59,123.02,75.43,334.13,0.0,71.62,401.93,68.48,182.01,149.6,257.53,763.13,596.86
KIAD,142.36,235.96,276.83,149.32,400.41,94.54,110.81,367.85,169.53,191.72,353.04,398.08,417.71,92.39,235.27,120.18,194.34,188.85,94.64,120.41,81.61,328.79,69.21,0.0,395.88,66.18,177.31,143.08,250.98,757.75,602.83
KSAN,330.98,227.3,183.19,301.86,79.62,405.85,354.69,100.01,364.65,381.07,106.42,209.97,127.33,403.0,243.63,425.52,275.39,381.24,405.14,337.94,395.31,146.44,384.92,379.11,0.0,382.26,356.06,309.5,224.43,441.19,857.5
KDCA,144.4,238.97,280.15,152.64,403.66,92.45,112.38,371.13,169.89,191.67,356.36,401.3,421.02,90.47,237.91,119.52,197.57,188.78,92.67,122.28,79.46,332.12,67.08,68.63,399.1,0.0,177.92,146.01,253.77,761.02,600.94
KTPA,122.17,200.02,280.86,204.85,378.71,202.3,133.3,352.96,74.16,91.26,325.7,425.89,411.11,201.23,178.73,227.22,247.01,90.22,203.05,199.43,190.5,334.02,179.73,175.32,368.93,175.76,0.0,149.41,198.87,739.04,702.82
KBNA,94.59,157.98,212.65,120.2,329.42,169.08,109.76,294.6,148.37,174.69,275.61,350.39,352.58,166.59,158.01,193.62,161.52,172.85,168.89,126.2,156.53,263.18,144.39,138.12,323.22,140.84,147.76,0.0,172.78,691.7,673.66
KAUS,177.58,91.22,174.91,198.44,243.68,273.83,206.03,220.89,200.73,215.87,190.43,318.57,280.11,271.36,82.32,298.35,207.32,216.11,273.67,222.15,261.21,214.84,248.95,242.68,233.0,245.27,191.51,167.71,0.0,607.68,775.94
PHNL,693.01,593.47,535.24,655.12,421.1,757.7,715.4,449.75,726.28,740.89,471.28,437.92,399.28,754.82,608.02,773.19,617.46,741.36,756.74,687.22,748.87,478.56,739.94,734.64,429.12,737.88,717.21,669.85,588.64,0.0,1099.5
LFPG,701.97,778.47,765.19,662.26,873.19,590.97,668.56,841.36,718.17,730.92,848.35,776.59,858.92,592.94,788.84,564.2,670.4,728.05,590.68,635.84,604.38,786.27,617.19,623.3,877.83,621.44,728.84,695.5,800.1,1104.4,0.0
