,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,00:00:00,2:50:51,3:53:34,2:25:55,5:42:02,2:45:22,1:33:44,5:13:29,1:57:29,2:23:10,4:47:57,6:10:02,6:07:28,2:43:27,2:41:26,3:10:23,3:07:44,2:21:17,2:45:35,2:23:07,2:32:47,4:42:23,2:20:44,2:15:00,5:34:49,2:16:46,1:57:48,1:33:39,2:59:01,11:33:32,10:58:41
KDFW,2:43:32,00:00:00,2:34:24,2:51:00,3:58:28,4:10:11,3:09:02,3:32:32,3:15:35,3:33:53,3:07:20,4:52:46,4:29:08,4:07:40,1:33:23,4:33:07,2:57:42,3:33:37,4:09:53,3:15:47,3:58:19,3:17:55,3:46:46,3:40:43,3:49:59,3:43:26,3:08:04,2:28:04,1:29:14,9:54:52,12:13:01
KDEN,3:46:25,2:31:25,00:00:00,3:02:37,3:04:59,4:41:43,4:03:01,2:32:46,4:31:04,4:52:54,2:27:19,3:26:14,3:21:34,4:38:55,2:59:02,5:03:03,2:34:37,4:52:07,4:40:53,3:34:07,4:32:34,1:58:22,4:23:37,4:18:26,3:03:05,4:21:34,4:25:41,3:19:26,2:47:25,8:55:35,12:03:56
KORD,2:26:40,2:56:36,3:12:34,00:00:00,5:14:05,2:42:41,2:23:47,4:37:52,3:18:19,3:44:07,4:26:10,5:04:06,5:29:16,2:39:53,3:10:17,2:59:43,1:52:20,3:42:04,2:41:47,1:36:08,2:34:21,3:57:44,2:26:46,2:22:22,5:06:17,2:25:28,3:19:13,1:58:14,3:18:10,10:59:19,10:26:09
KLAX,5:30:55,3:51:12,3:01:04,5:01:47,00:00:00,6:39:55,5:52:55,1:36:22,6:05:21,6:22:02,1:54:24,3:12:31,1:52:10,6:37:08,4:08:34,6:58:14,4:29:35,6:22:06,6:39:10,5:33:15,6:30:03,2:19:13,6:20:19,6:14:48,1:17:55,6:17:53,5:57:19,5:08:53,3:50:08,7:01:38,13:50:01
KJFK,2:51:52,4:21:37,4:55:19,2:49:03,6:57:08,00:00:00,2:19:16,6:25:01,3:12:53,3:32:00,6:12:32,6:44:56,7:11:07,1:08:41,4:21:58,1:28:21,3:28:13,3:29:08,1:05:35,2:16:31,1:17:58,5:44:13,1:30:29,1:36:43,6:53:35,1:34:25,3:21:32,2:51:56,4:36:55,12:39:37,9:16:35
KCLT,1:38:43,3:19:07,4:13:28,2:26:26,6:07:16,2:15:58,00:00:00,5:37:30,2:06:19,2:30:37,5:18:38,6:23:58,6:29:43,2:14:16,3:12:29,2:41:04,3:12:02,2:28:07,2:16:20,2:11:22,2:03:31,5:02:01,1:53:06,1:47:48,6:01:01,1:49:05,2:12:10,1:52:59,3:29:31,11:57:45,10:29:02
KLAS,5:04:04,3:27:03,2:29:41,4:26:44,1:38:53,6:09:25,5:24:49,00:00:00,5:41:23,5:59:32,1:38:57,3:01:45,2:03:14,6:06:38,3:47:24,6:27:17,3:57:52,5:59:23,6:08:38,5:02:20,5:59:49,1:50:44,5:50:19,5:44:55,1:40:42,5:48:01,5:33:56,4:36:34,3:29:44,7:30:28,13:19:29
KMCO,2:01:04,3:24:17,4:40:20,3:20:17,6:18:16,3:10:07,2:06:08,5:52:41,00:00:00,1:29:04,5:27:01,7:00:19,6:48:43,3:09:13,3:05:05,3:33:54,4:02:31,1:27:04,3:10:54,3:12:29,2:59:00,5:32:34,2:49:01,2:45:05,6:09:05,2:45:16,1:16:38,2:28:11,3:24:34,12:07:51,11:13:47
KMIA,2:26:53,3:42:23,5:02:11,3:46:17,6:34:50,3:29:41,2:30:52,6:10:46,1:29:54,00:00:00,5:43:23,7:23:17,7:07:23,3:29:08,3:19:28,3:52:20,4:28:17,1:06:05,3:30:37,3:37:59,3:19:25,5:53:45,3:10:22,3:07:02,6:24:51,3:06:49,1:32:37,2:53:50,3:38:52,12:22:04,11:24:47
