,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,00:00:00,2:53:47,3:58:32,2:28:13,5:50:01,2:48:18,1:34:23,5:20:35,1:58:54,2:25:23,4:54:42,6:18:57,6:16:17,2:46:20,2:44:10,3:14:08,3:11:20,2:23:27,2:48:32,2:25:21,2:35:19,4:49:06,2:22:53,2:16:58,5:42:35,2:18:48,1:59:13,1:34:16,3:02:18,11:52:56,11:16:48
KDFW,2:46:21,00:00:00,2:36:53,2:54:07,4:03:38,4:15:49,3:12:43,3:36:53,3:19:29,3:38:22,3:10:53,4:59:43,4:35:18,4:13:13,1:34:02,4:39:29,3:01:02,3:38:06,4:15:31,3:19:42,4:03:34,3:21:56,3:51:39,3:45:25,3:54:53,3:48:13,3:11:43,2:30:28,1:29:44,10:11:06,12:33:31
KDEN,3:51:14,2:33:51,00:00:00,3:06:07,3:08:28,4:48:22,4:08:25,2:35:13,4:37:23,4:59:55,2:29:38,3:30:25,3:25:34,4:45:29,3:02:25,5:09:55,2:37:13,4:59:05,4:47:31,3:38:37,4:38:55,1:59:40,4:29:41,4:24:20,3:06:31,4:27:34,4:31:50,3:23:28,2:50:25,9:09:56,12:24:08
KORD,2:28:56,2:59:47,3:16:13,00:00:00,5:21:11,2:45:32,2:26:02,4:44:18,3:22:18,3:48:56,4:32:14,5:11:23,5:36:51,2:42:40,3:13:59,3:03:07,1:53:22,3:46:49,2:44:37,1:36:42,2:36:56,4:02:59,2:29:07,2:24:34,5:13:37,2:27:46,3:23:14,1:59:40,3:22:07,11:17:37,10:43:14
KLAX,5:38:36,3:56:10,3:04:26,5:08:36,00:00:00,6:49:52,6:01:22,1:36:56,6:14:12,6:31:26,1:55:33,3:16:18,1:53:13,6:47:00,4:14:09,7:08:46,4:35:50,6:31:29,6:49:06,5:41:05,6:39:41,2:21:25,6:29:38,6:23:57,1:18:04,6:27:08,6:05:55,5:15:56,3:55:09,7:12:20,14:13:36
KJFK,2:54:53,4:27:28,5:02:14,2:52:01,7:07:31,00:00:00,2:21:19,6:34:22,3:16:40,3:36:24,6:21:30,6:54:58,7:21:57,1:08:27,4:27:55,1:28:50,3:32:26,3:33:27,1:05:18,2:18:27,1:18:04,5:52:23,1:30:58,1:37:23,7:03:52,1:35:02,3:25:35,2:55:01,4:43:19,13:01:08,9:31:26
KCLT,1:39:23,3:22:58,4:19:04,2:28:44,6:16:04,2:17:58,00:00:00,5:45:22,2:08:00,2:33:05,5:25:52,6:33:20,6:39:14,2:16:13,3:16:12,2:43:52,3:15:47,2:30:30,2:18:20,2:13:13,2:05:07,5:09:20,1:54:13,1:48:45,6:09:37,1:50:04,2:14:02,1:54:00,3:33:46,12:17:55,10:46:13
KLAS,5:10:53,3:31:16,2:32:03,4:32:55,1:39:29,6:18:24,5:32:23,00:00:00,5:49:28,6:08:12,1:39:37,3:05:11,2:04:44,6:15:32,3:52:19,6:36:50,4:03:07,6:08:02,6:17:36,5:09:10,6:08:29,1:51:52,5:58:41,5:53:07,1:41:23,5:56:19,5:41:47,4:43:03,3:34:05,7:42:06,13:42:06
KMCO,2:02:30,3:28:20,4:46:49,3:24:19,6:27:26,3:13:50,2:07:49,6:01:02,00:00:00,1:29:34,5:34:32,7:10:51,6:58:52,3:12:55,3:08:34,3:38:23,4:07:53,1:27:30,3:14:40,3:16:16,3:02:23,5:40:25,2:52:04,2:48:01,6:17:58,2:48:12,1:16:40,2:30:32,3:28:40,12:28:21,11:32:22
KMIA,2:29:08,3:47:00,5:09:22,3:51:08,6:44:32,3:34:02,2:33:20,6:19:42,1:30:25,00:00:00,5:51:27,7:34:33,7:18:08,3:33:28,3:23:25,3:57:25,4:34:29,1:05:51,3:35:00,3:42:36,3:23:26,6:02:16,3:14:05,3:10:40,6:34:14,3:10:27,1:33:11,2:57:00,3:43:26,12:43:01,11:43:44
