,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0.0,729.82127,1197.14651,606.66284,1942.27023,759.37474,226.5318,1742.84172,404.34939,595.93593,1583.5701,2177.89485,2134.23786,745.22169,688.20845,945.45103,907.02807,581.87851,761.09849,595.39722,665.85793,1586.79917,576.34171,533.77797,1887.53152,546.86542,406.96873,214.0211,810.99209,4494.95904,4384.23136
KDFW,729.82127,0.0,641.31687,801.97094,1232.28922,1388.70204,934.0508,1053.10134,983.26894,1119.81729,865.75584,1657.91574,1461.43047,1369.99502,224.70095,1559.18963,852.88158,1117.8011,1386.50453,985.75635,1300.4551,987.64095,1214.63858,1169.71921,1168.44746,1189.89138,927.51791,630.16344,190.0851,3778.51411,4936.215
KDEN,1197.14651,641.31687,0.0,886.09025,860.68681,1621.64571,1334.83278,627.19098,1544.94592,1707.96041,601.54197,1022.19796,964.85091,1600.90701,862.15016,1749.61682,678.75731,1701.95863,1615.44909,1119.89687,1553.67288,390.03512,1487.28279,1448.84935,852.1027,1472.14886,1505.28393,1011.33535,776.0261,3360.31601,4867.14356
KORD,606.66284,801.97094,886.09025,0.0,1741.15662,738.08787,599.36225,1510.98602,1006.67441,1199.27316,1437.16182,1716.07532,1841.72394,717.34525,926.24945,864.37723,333.67389,1183.95822,731.38917,233.87738,676.25393,1246.69543,620.11101,587.44803,1720.00003,610.572,1013.61608,409.7856,977.96769,4237.24739,4140.95268
KLAX,1942.27023,1232.28922,860.68681,1741.15662,0.0,2469.45484,2120.45343,236.11783,2213.52284,2337.99187,369.65925,954.99276,337.52265,2448.83373,1376.38479,2605.43117,1533.10769,2338.36177,2463.94151,1974.74411,2396.20638,589.67858,2323.87768,2282.93973,-1.0,2305.84881,2153.94085,1793.47815,1239.61821,2552.73586,5656.04284
KJFK,759.37474,1388.70204,1621.64571,738.08787,2469.45484,0.0,540.92254,2242.70736,945.34839,1091.82623,2148.4302,2415.04825,2579.80403,-1.0,1415.42049,186.52223,1026.05553,1070.80383,-1.0,507.48882,-1.0,1984.54388,183.52905,227.62097,2440.77286,212.64484,1006.3272,764.1393,1519.03643,4975.16868,3624.86703
KCLT,226.5318,934.0508,1334.83278,599.36225,2120.45343,540.92254,0.0,1911.70567,469.262,652.06803,1769.54736,2274.47382,2290.98079,528.34422,911.48864,727.42485,929.61811,633.34831,543.65573,500.63708,448.30331,1723.51626,360.83589,321.47993,2072.50957,330.96556,508.78789,327.95436,1030.36073,4670.55615,4163.86607
KLAS,1742.84172,1053.10134,627.19098,1510.98602,236.11783,2242.70736,1911.70567,0.0,2035.67267,2171.16963,255.48118,866.8819,413.14502,2222.0264,1219.62239,2375.30091,1297.27934,2169.89374,2236.92617,1744.82498,2171.33133,367.6096,2100.93359,2060.74785,258.74811,2083.81866,1980.5933,1583.79155,1088.42702,2759.19322,5428.86033
KMCO,404.34939,983.26894,1544.94592,1006.67441,2213.52284,945.34839,469.262,2035.67267,0.0,192.60865,1844.93294,2550.53761,2441.46179,938.81977,852.52273,1122.1823,1311.36683,177.65114,951.29343,959.17927,862.8096,1928.32904,788.51973,759.3308,2144.70379,760.63826,-1.0,617.02217,991.87837,4748.91159,4497.82696
KMIA,595.93593,1119.81729,1707.96041,1199.27316,2337.99187,1091.82623,652.06803,2171.16963,192.60865,0.0,1968.33328,2721.27536,2580.99523,1087.77164,962.75733,1260.31752,1502.52433,-1.0,1098.82029,1147.72423,1015.47135,2086.25018,948.17845,923.46015,2263.37956,921.86884,204.52542,807.42476,1101.29767,4854.16219,4580.42682
KPHX,1583.5701,865.75584,601.54197,1437.16182,369.65925,2148.4302,1769.54736,255.48118,1844.93294,1968.33328,0.0,1107.26703,650.25176,2128.07908,1006.8869,2294.86558,1274.5725,1968.73014,2143.71077,1667.41035,2070.57345,507.86957,1994.0888,1951.73306,303.96967,1974.1928,1784.70036,1445.15755,870.53142,2913.67661,5467.87012
KSEA,2177.89485,1657.91574,1022.19796,1716.07532,954.99276,2415.04825,2274.47382,866.8819,2550.53761,2721.27536,1107.26703,0.0,679.19668,2395.27387,1872.44579,2488.91132,1394.86128,2713.90948,2406.2881,1921.90851,2372.1835,687.74775,2328.98761,2300.08822,1051.51526,2322.77752,2517.15842,1973.6978,1769.42627,2676.81514,5001.52013
KSFO,2134.23786,1461.43047,964.85091,1841.72394,337.52265,2579.80403,2290.98079,413.14502,2441.46179,2580.99523,650.25176,679.19668,0.0,2559.0591,1632.4603,2697.52631,1585.36137,2579.20684,2573.10326,2073.73321,2515.15789,597.5611,2450.91044,2413.03729,446.69678,2436.36813,2388.44776,1963.88924,1501.57101,2396.56174,5568.86715
KEWR,745.22169,1369.99502,1600.90701,717.34525,2448.83373,-1.0,528.34422,2222.0264,938.81977,1087.77164,2128.07908,2395.27387,2559.0591,0.0,1398.42587,200.27207,1005.83079,1066.79197,-1.0,486.82921,-1.0,1963.81749,168.88002,212.14731,2420.28001,198.42922,998.70907,746.27359,1501.29503,4954.44207,3639.10786
KIAH,688.20845,224.70095,862.15016,926.24945,1376.38479,1415.42049,911.48864,1219.62239,852.52273,962.75733,1006.8869,1872.44579,1632.4603,1398.42587,0.0,1595.46317,1035.77235,964.08041,1414.94572,1075.51594,1323.20158,1194.46944,1233.91411,1188.9193,1300.62466,1206.47525,786.05131,656.49507,-1.0,3897.54633,5015.30911
KBOS,945.45103,1559.18963,1749.61682,864.37723,2605.43117,186.52223,727.42485,2375.30091,1122.1823,1260.31752,2294.86558,2488.91132,2697.52631,200.27207,1595.46317,0.0,1121.09894,1239.20415,184.35616,630.68707,279.70567,2100.10086,369.12866,412.31123,2582.35716,398.59347,1185.86223,940.94026,1695.65662,5086.70745,3438.83949
KMSP,907.02807,852.88158,678.75731,333.67389,1533.10769,1026.05553,929.61811,1297.27934,1311.36683,1502.52433,1274.5725,1394.86128,1585.36137,1005.83079,1035.77235,1121.09894,0.0,1488.81748,1017.85061,527.07576,978.30268,989.08978,934.31229,906.39587,1530.31256,928.85559,1307.84356,695.35811,1042.9178,3966.65022,4209.64284
KFLL,581.87851,1117.8011,1701.95863,1183.95822,2338.36177,1070.80383,633.34831,2169.89374,177.65114,-1.0,1968.73014,2713.90948,2579.20684,1066.79197,964.08041,1239.20415,1488.81748,0.0,1077.81383,1129.83919,994.5852,2081.29237,927.52851,903.0109,2264.52699,901.29017,196.85027,794.08091,1102.93018,4857.52114,4560.76427
KLGA,761.09849,1386.50453,1615.44909,731.38917,2463.94151,-1.0,543.65573,2236.92617,951.29343,1098.82029,2143.71077,2406.2881,2573.10326,-1.0,1414.94572,184.35616,1017.85061,1077.81383,0.0,500.28828,-1.0,1977.64555,184.80675,228.33178,2435.68499,214.23743,1011.77361,762.84369,1517.86408,4968.25808,3623.16755
KDTW,595.39722,985.75635,1119.89687,233.87738,1974.74411,507.48882,500.63708,1744.82498,959.17927,1147.72423,1667.41035,1921.90851,2073.73321,486.82921,1075.51594,630.68707,527.07576,1129.83919,500.28828,0.0,452.39132,1477.68661,408.07856,382.94564,1952.46396,404.66852,984.75428,456.68369,1148.15952,4468.18504,3951.34659
KPHL,665.85793,1300.4551,1553.67288,676.25393,2396.20638,-1.0,448.30331,2171.33133,862.8096,1015.47135,2070.57345,2372.1835,2515.15789,-1.0,1323.20158,279.70567,978.30268,994.5852,-1.0,452.39132,0.0,1921.91141,-1.0,-1.0,2364.90947,-1.0,921.33146,673.75398,1428.0873,4911.61218,3718.37346
KSLC,1586.79917,987.64095,390.03512,1246.69543,589.67858,1984.54388,1723.51626,367.6096,1928.32904,2086.25018,507.86957,687.74775,597.5611,1963.81749,1194.46944,2100.10086,989.08978,2081.29237,1977.64555,1477.68661,1921.91141,0.0,1860.18941,1823.50209,626.35408,1846.87238,1885.31304,1401.05599,1085.42488,2990.62481,5066.3684
KBWI,576.34171,1214.63858,1487.28279,620.11101,2323.87768,183.52905,360.83589,2100.93359,788.51973,948.17845,1994.0888,2328.98761,2450.91044,168.88002,1233.91411,369.12866,934.31229,927.52851,184.80675,408.07856,-1.0,1860.18941,0.0,-1.0,2290.13456,-1.0,843.76426,586.355,1339.81427,4847.31994,3807.9652
KIAD,533.77797,1169.71921,1448.84935,587.44803,2282.93973,227.62097,321.47993,2060.74785,759.3308,923.46015,1951.73306,2300.08822,2413.03729,212.14731,1188.9193,412.31123,906.39587,903.0109,228.33178,382.94564,-1.0,1823.50209,-1.0,0.0,2248.32912,-1.0,812.05082,541.24013,1294.65655,4809.14879,3850.9819
KSAN,1887.53152,1168.44746,852.1027,1720.00003,-1.0,2440.77286,2072.50957,258.74811,2144.70379,2263.37956,303.96967,1051.51526,446.69678,2420.28001,1300.62466,2582.35716,1530.31256,2264.52699,2435.68499,1952.46396,2364.90947,626.35408,2290.13456,2248.32912,0.0,2270.98945,2082.92973,1747.34444,1162.40564,2610.21609,5684.40898
KDCA,546.86542,1189.89138,1472.14886,610.572,2305.84881,212.64484,330.96556,2083.81866,760.63826,921.86884,1974.1928,2322.77752,2436.36813,198.42922,1206.47525,398.59347,928.85559,901.29017,214.23743,404.66852,-1.0,1846.87238,-1.0,-1.0,2270.98945,0.0,815.16117,560.7783,1313.29864,4832.45511,3837.37996
KTPA,406.96873,927.51791,1505.28393,1013.61608,2153.94085,1006.3272,508.78789,1980.5933,-1.0,204.52542,1784.70036,2517.15842,2388.44776,998.70907,786.05131,1185.86223,1307.84356,196.85027,1011.77361,984.75428,921.33146,1885.31304,843.76426,812.05082,2082.92973,815.16117,0.0,612.9572,925.5561,4683.59701,4573.1193
KBNA,214.0211,630.16344,1011.33535,409.7856,1793.47815,764.1393,327.95436,1583.79155,617.02217,807.42476,1445.15755,1973.6978,1963.88924,746.27359,656.49507,940.94026,695.35811,794.08091,762.84369,456.68369,673.75398,1401.05599,586.355,541.24013,1747.34444,560.7783,612.9572,0.0,755.06915,4342.75953,4361.03426
